Elegido;1251;3;4;5;6;7;
Numero;Codigo;Juego;Juego+;Juego-;Fecha Rev. Plano; Rev.;Observaciones
272;FD-208;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
273;FD211-50;NO EXIST.;NO EXIST.;NO EXIST.;2017-06-05 00:00:00;0;
274;FDECL209-35;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
275;FDECL211-50;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
276;FDECL211-55;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
277;FFH-5209HX;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
278;FHR-207-SEAL;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
279;FHRL-205-KRR2;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
280;FHT-207-35FZ;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
281;FT203;NO EXIST.;NO EXIST.;NO EXIST.;2012-06-21 00:00:00;0;
282;FT205-H;NO EXIST.;NO EXIST.;NO EXIST.;2018-06-22 00:00:00;B;
283;FT205-KRRB2;Radial ;13;38;……………….;…..;
284;B&P-047-FT-206 - SCB;NO EXIST.;NO EXIST.;NO EXIST.;2014-10-30 00:00:00;A;
285;FT-207;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
